"","id","qid1","qid2","question1","question2","is_duplicate"
"8045",8044,15693,15694,"Can I make 40,000 a month playing poker online?","Can I make 50,000 a month playing poker?",0
"8572",8571,16700,16701,"What are side effects of protienx?","What are the side effects of antidepressants?",0
"8779",8778,17096,17097,"Can kittens eat watermelon? If not, why?","What does a kitten eat?",0
"9444",9443,11286,18345,"Which are some of the best movies of 2016?","What are some interesting movies in 2016?",1
"9895",9894,19213,19214,"Is reservation necessary in jobs and other educational competitive exams in India?","Is there any need for reservation in India?",1
"10209",10208,19808,19809,"How do I get a good score in GRE?","How do I prepare for gre?",1
"10420",10419,20186,20187,"Did Amitabh molest Deepika during Piku?","I was abused and raped as a child. All I know is how to give myself to men, not just sexually but emotionally too. How do I stop this?",0
"10758",10757,20816,20817,"I am tired of constant failures for past 5 years. Now my parents hate me.There is no hope left in my life. Can I change my life from this situation?","I am 23 years old and I am going for my MBA now and on the other hand most of my friends from school n college are working, am I a failure in life?",0
"11425",11424,22062,22063,"How can I hide someone in Google Chat without blocking them?","How do I view the full status of someone in Hangouts?",0
"11478",11477,22160,22161,"What is the difference between a woman and a wife?","Married Life: What are the differences (if any) that exist between a husband and a wife?",0
"11654",11653,22490,22491,"What is the AWS recommended vCPU & MEM I need for a windows server to host an asp.net web form ecommerce site for about 2000 daily unique user access?","Is it good to brush curly hair or comb curly hair?",0
"11682",11681,22545,22546,"What should toddlers eat for breakfast?","Why do my boogers smell like feet?",0
"11940",11939,23037,23038,"What are the applications of functional analysis to computational biology?","If aliens come to destroy all of mankind, do you think they would fight a conventional war like the ones we often see in movies?",0
"12211",12210,23539,23540,"Is is possible to solve this mathematical problem?","Is it possible to solve a mathematical problem in a dream?",0
"12499",12498,17019,24077,"What is the reaction between ammonia and sulfuric acid?","What is the reaction between sulfuric acid and sodium hydroxide?",0
"12718",12717,24480,24481,"Are there any statistics comparing the divorce rates of married gay couples compared to straight ones?","On average, are gay marriages or straight marriages more likely to end in divorce?",0
"12865",12864,24744,24745,"What type of barbell should be used for a snake-eye tongue piercing?","How do you clean and care for a tongue web piercing?",0
"13625",13624,26146,26147,"How does Facebook show unknown and unrelated people in the suggested friends list, even though there are no mutual friends?","Can you describe the college life of DIAT Pune?",0
"13758",13757,26386,26387,"I sent text to my friends on WhatsApp and there were 2 ticks soon after which I uninstalled what'sapp. Will my messages be delivered to them?","Lately, I sent a WhatsApp message to a friend who was online, but my message shows only one tick mark. How can I do that to my WhatsApp too?",0
"14184",14183,27184,27185,"What are some ideas for outfits on Wacky Wednesday/Wacky Tacky Day at school?","What are some country outfit ideas?",0
"14227",14226,27263,26149,"What are some shows similar to Leverage?","Is Jon Snow really dead? What's his fate?",0
"14742",14741,28213,28214,"Is Quora being gamed by people who use it as a venue for propaganda?","Is Quora being used as propaganda against India?",0
"15444",15443,29502,29503,"What are the best ways to build up my credit score?","How do I build up my credit report?",1
"15470",15469,29551,21056,"Can I get pregnant 6 days before ovulation?","Can I get pregnant the day before ovulation? Why or why not?",0
"15587",15586,29767,2773,"What are the best apps to improve your vocabulary?","What is the best Android app for advanced English learners to improve their vocabulary and grammar?",0
"15702",15701,29977,29978,"What are the best romance movies?","Which are the most romantic movies?",1
"16189",16188,30875,30876,"How good is Keio University?","What is it like to study at Keio University as a foreigner?",0
"17056",17055,32460,32461,"Is it hard to be honest?","Why is it so hard being honest?",1
"17118",17117,32577,32578,"What character do you identify the most with?","Which fictional character do you identify with the most?",1
"17239",17238,32785,32786,"Does makeup make you confident?","Does makeup increase your confidence?",1
"17731",17730,33641,33642,"How can dogs understand human language?","Can dogs understand the human language?",0
"17957",17956,34049,34050,"Is Donald Trump going to be the next US President?","Why should Donald Trump or Hillary Clinton be the next president of the US?",0
"18278",18277,34636,34637,"Why does meat get spoiled when you damage the organs of a deer?","Why insect pesticide like 'all out' ban in USA?",0
"18997",18996,15687,35938,"How do you fix a packet loss?","How can you resolve a packet loss?",1
"19030",19029,35998,35999,"What's the difference between UberX and UberXL?","How much does an UberX driver make in NYC?",0
"19045",19044,36026,36027,"How do I repair a headphone which produces sound only on one side?","How do I repair headphone wires?",0
"19104",19103,36135,36136,"What is it like to not share your secrets with anyone around you, because you know they'll speak all the unncessary and irrelevant things instead of helping you which is exactly opposite to what you want them to do?","I want to become a nursery or a preschool or a kindergarten teacher, what is it like and what sort of things do you do? The more information about it the better.",0
"19347",19346,36562,36563,"How can systems biology be used to understand schizophrenia?","How can systems biology be used to understand intelligence?",0
"19353",19352,36572,36573,"Who is the baby girl on the cover of the Parle-G biscuit packets?","What are some amazing facts about Parle-G?",0
"19528",19527,36896,36897,"What is the salary after completing MBA from IIM?","What is an average salary after completion of MBA in iim?",1
"20336",20335,38372,38373,"What would you take if offered, Bill Gates' wealth or his reputation?","What would you take if offered, Bill Gates wealth or his reputation?",1
"20517",20516,38700,38701,"What is difference between humidifier and air conditioning system?","What are the differences between CY, CYa and JY in air conditioning types?",0
"20705",20704,39040,39041,"Will Peyton Manning enter the Hall of Fame as a Colt or a Bronco?","If you were inventing the English writing system, what would you do?",0
"21429",21428,40347,40348,"What is the difference between industrial design and engineering?","What is the difference between industrial engineering and product engineering?",0
"22008",22007,41359,41360,"Why hasn't the USA tried to take down North Korea?","How do I stay in the USA without permission from North Korea?",0
"22050",22049,41434,41435,"What is an advertising copywriter?","How do I become an advertising copywriter?",0
"22362",22361,41973,41974,"What happened when the American economy collapsed?","Will the American economy collapse?",0
"22449",22448,42121,42122,"How is Amazon able to send me an item from Las Vegas to San Francisco in a few hours when it stores millions of items in warehouses around the globe?","Marketing strategy of a service courier company?",0
"22889",22888,42916,42917,"What is the average salary for a Senior software engineer in Amsterdam with 10+ years experience?","What is the average salary for a Senior Software Engineer in Norway with 10+ years experience?",0
"23173",23172,43438,43439,"What is the English word for ""pinapansin"", a Filipino word?","What is the English word for 'Chipku'?",0
"23546",23545,44092,44093,"Who are the smartest people alive now?","Who are the smartest people alive today?",1
"24458",24457,19200,23803,"How can I slowly lose weight?","What is the fastest possible way to lose weight?",1
"24769",24768,46229,46230,"How do I prepare for the Coal India Limited management trainee (mechanical) exam?","Which is better, to become an ISI officer or to become an engineer?",0
"25731",25730,47943,47944,"Why do a lot of young people want to become geniuses?","How does one get a well-wishing letter to Chelsea Manning?",0
"26921",26920,50045,50046,"Why do I pick holes in my skin? I just can't stop. I bleed, scar, then reopen my wounds. What's wrong with me?","How does paprika powder stops bleeding of wound?",0
"27167",27166,50486,50487,"How can I change my name on an online-booked IRCTC railway ticket?","What are the booking charges for Makemytrip and Irctc? Which is the cheapest way to book a railway ticket online?",0
"27231",27230,50601,50602,"What is reason to study?","What are reasons to study?",1
"27599",27598,51258,51259,"How do you download Netflix movies to my computer?","Is it possible to download movies from Netflix?",1
"27620",27619,51296,51297,"How do I figure out how much food portion I should eat?","How do I learn how much of each food I should eat?",1
"28101",28100,52135,52136,"Can we ride scootry with learning lisence age of 16? Is it necessary to have scooty less than 50cc?","How do I pick up CPA offers from maxbounty?",0
"29241",29240,54126,54127,"How legit is www.magnumcashadvance.com?","How legit is www.extratorront.com?",0
"29674",29673,54869,54870,"My height is 5 feet 3 - 4 inches. Is the Suzuki Gixxer suitable for me?","My height is 5 feet 3 inches. What dress should I wear in my sister's marriage ceremony that suits my personality?",0
"30206",30205,55815,55816,"How can I increase my weight and become fit?","What are some ways to increase weight?",0
"31103",31102,57368,57369,"What's the benefit of eating protein powder?","What are the benefits of me starting to use protein powder?",1
"31536",31535,58133,58134,"How do I bleach my hair without bleach?","How can I bleach my hair back blonde?",0
"32461",32460,40887,56633,"Do you'll think World War 3 will happen and why?","When would the World War III break out?",1
"32592",32591,59969,22281,"How can I automatically share my Google contacts to another user with Gmail?","I set up 2-Step Verification. I don't have access to my phone. How do I get into my Gmail account?",0
"32642",32641,60059,60060,"Which is a writability programming language among Java, C# (.NET), and PHP? Why are they so?","Among Java, C# (.net), and PHP, which is the most reliable programming language? Why?",0
"33341",33340,61267,61268,"What's it like to live in Finland?","How tough is it living in/getting adjusted to northern countries like Finland?",0
"33987",33986,14660,62343,"Is it possible to get out of friendzoned?","How do I get out of the friend zone?",1
"34143",34142,62610,62611,"What is the importance of individuality?","How are conformity and individuality related?",0
"34354",34353,62954,62955,"What could be next designing trend after flat designing?","What is the next trend in UI design after flat design?",1
"35631",35630,65076,65077,"Why do I find it so hard to talk to new people?","How do you make friends and talk to people if you are new at a company or job?",0
"36210",36209,66048,66049,"Why the Muslim community of the world do not protest against killing of innocent by terrorist in the name of Islam?","Why does Islam, the preacher of brotherhood, get its name stained with inhuman and brutal killings by terrorists?",0
"36493",36492,48597,650,"How do you get a text to someone who has blocked your number?","How do I know if someone blocked my texts?",0
"36645",36644,66798,66799,"What are the best sites for learning French for beginner?","What is the Best french learning site for beginners?",1
"37211",37210,67735,67736,"In which countries is prostitution legal?","Where is prostitution legal?",1
"37306",37305,67898,67899,"How different is an AR/VR app from traditional web/mobile apps?","Demonstrated any one of the AIESEC values?",0
"38551",38550,12349,69992,"""How do I get rid of acne and acne…?","How do I get rid of pimples permanently?",1
"38553",38552,69994,69995,"How much money do cardiologists make per annum?","What was the SA and what is its history?",0
"40207",40206,53642,72768,"How can I get my doctor to prescribe me a benzodiazepine?","Why my doctor always prescribes me amoxicillin?",0
"40273",40272,72884,72885,"How driver earns in ola cab services?","At what stage are you at present on your career ladder?",0
"40694",40693,73579,73580,"I cheated on my husband, and now I don't know what to do? Details in comments","How do I know my husband is cheating on me?",0
"40803",40802,73770,73771,"Did the Gulf of Tonkin incident actually happen?","Did the U.S. government lie about the Gulf of Tonkin incident?",1
"41156",41155,74347,65507,"What is the advantage of typing in computer?","What is the advantagee of typing in computer?",1
"42809",42808,77085,77086,"What are lipids made of? What function do they serve?","How are lipids made and what functions do they serve?",1
"42997",42996,77402,77403,"What are some of the best songs composed from famous poems?","What are Yeats's best poems?",0
"43211",43210,77757,4127,"What is a guy's thought process when he friendzones an attractive girl?","Why are ""bad boys"" so attractive?",0
"43327",43326,77949,77950,"Why are C and C++ programs faster than any other high level programming language?","Why is C faster than any other high level programming language ?",0
"43662",43661,78501,78502,"Who is the best Ronaldo or Messi?","Who is better - Ronaldo or Messi?",1
"43893",43892,78887,78888,"What or who is your inspiration and why?","Who inspires you most and why?",1
"44082",44081,79200,79201,"Is proto/Pseudo/pShudro-science Pandora's or Panacea box?","How's pseudoscience not a Pandora's box?",0
"44576",44575,79981,79982,"What purpose does oxygen have for the human body, and how does it affect the body?","Why does the human body need oxygen if it already has other energy sources?",0
"45134",45133,80906,80907,"Is it legal for a 15 year old boy to date a 18 year old girl?","What is the appropriate dress for an 18-year-old boy on his first date?",0
"45155",45154,80941,80942,"Are there instances in the Ramayana and the Mahabharatha where people of lower castes were respected and treated well by those of higher castes? Is there any tale of a backlash by the oppressed caste in any of the Itihasas or Puranas?","How do people from an upper caste in India feel about people from lower castes?",0
"45238",45237,6811,81089,"How do I know when a guy is interested in another guy?","How can I get to know whether a guy is interested in me or not without asking anybody?",0
"45327",45326,81245,81246,"What's the easiest way to describe a DNA structure?","How is DNA structured?",0
"45656",45655,81781,81782,"Who owns Fox News and why does there seem to be such disdain for it on Quora?","Does Fox News make things up?",0
"46195",46194,75579,82658,"Is it possible to be as a best friend after getting rejected by a person?","If you can't make any money from programming, will you still program?",0
"46391",46390,82987,82988,"How can I display my WhatsApp status in colored text?","How can I copy a text status from the web to my WhatsApp status?",0
"46855",46854,83744,25936,"What decisions you made when you were 30 that made your life more meaningful?","What was the most important decision you made in your life?",0
"47249",47248,84385,84386,"When something is frozen its density increases but why this is not applicable in water?","Why does liquid water volume increases if its density decreases?",0
"47637",47636,85025,85026,"What are some real-life applications of integration and differentiation?","What are the applications of mathematical differentiation and integration in day to day life or in the engineering field? Why are we learning it?",0
"48038",48037,85705,85706,"What is coaching fees of vibrant academy Kota for 2 years (classes 11 and 12)?","On what day did WHO declare that India is free of maternal and neonatal tetanus?",0
"49403",49402,87927,30652,"What are some unexpected things first-time visitors to Madagascar notice?","What are some unexpected things first-time visitors to Canada notice?",0
"49437",49436,29392,19133,"How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Arabian Desert?","How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Sahara?",1
"49515",49514,88120,88121,"What are the limitations of human right?","What are limitations in human rights?",1
"49899",49898,88748,88749,"How do I root Micromax canvas 5?","What is the best way to root micromax canvas juice?",0
"50071",50070,89017,89018,"How do you tackle feelings of jealousy when your current partner has contact with his previous partner(s)?","How do others tackle feelings of jealousy when their partner has contact with their past partners?",1
"50100",50099,89066,89067,"Should I become a psychologist?","How do I become a psychologist?",0
"50130",50129,89111,89112,"What are some best ways to represent word for morphology tasks using unsupervised machine learning techniques?","I want to invest in some fund that has minimal risk and regular returns. Any suggestions?",0
"50200",50199,89218,89219,"What is the best software inventory management for food industry?","Which is the top best software for an inventory management in food industry?",1
"50972",50971,90473,90474,"What are the major differences between coffee beans grown in Africa and South/Central America?","How is coffee grown in the US?",0
"51184",51183,90825,90826,"Which are some of the smartphones and laptops which can be customised?","Are there any experiments in which you slowly increase audio and see how long it takes for the subject to become aware of it?",0
"51196",51195,90848,90849,"What is the scope of placements in biotechnology?","What are some career options after completing studies in Biotechnology?",0
"51846",51845,91903,57669,"Is freebookcity.com a scam?","Is ""Citizenpath.com"" a scam?",0
"51899",51898,91986,91987,"Is galegroup.com reliable?","Is LabDoor.com reliable?",0
"51999",51998,92141,92142,"Do you believe in sun signs and horoscopes? Is it relevant in any way?","Do you put faith in horoscopes?",0
"52073",52072,48140,42509,"Which is the best coaching institute for SSC CGL preparation in Delhi?","Which is the best coaching institute for SSC CGL preparation in New Delhi?",1
"53238",53237,94138,94139,"What are M&A valuations?","What is the valuation of Freecharge.in?",0
"53538",53537,94629,94630,"I'm in college how do I start my own hedge fund?","How can I start a hedge fund?",1
"53560",53559,94668,94669,"Why are all the planets and moons round?","Why are all planets spheres?",1
"53614",53613,94757,94758,"Having sex with two women same time?","How hard (or easy) is it to get into a medical college in india?",0
"53715",53714,94919,18809,"Which is the best country for high demand of electronics?","Why are countries like India and China so densely populated? What are the circumstances and reasons?",0
"53895",53894,95206,95207,"How can I start to be an investor in startup in India?","How do I start startups in India?",0
"54994",54993,97007,97008,"Are there any white people in Nigeria?","Are there white people in iran?",0
"55172",55171,97292,97293,"Is history a science? Why?","Is history an art or a science? Why?",1
"55280",55279,97473,97474,"How can I promote my song?","How do I promote my songs?",1
"55690",55689,98150,98151,"Is it better to be a short person or to be a tall?","Is a person that is 5' 6"" tall or short?",0
"56745",56744,26322,83888,"What do Chinese think of Donald Trump as a leader?","What do Chinese people think of Donald Trump?",1
"59322",59321,103918,103919,"What happened to the Gtbit court case on 27-07-2016?","What is decision of GTBIT court case on 18-07-2016?",0
"59908",59907,8517,104859,"How do you give a good rimjob?","What is a rimjob?",0
"60176",60175,105284,105285,"What would happen if mosquito bites have the ability to transmit AIDS?","How do Eisenhower and Kennedy differ?",0
"60209",60208,105326,49735,"What are the best Non-fiction books currently?","What are some of the best non-fiction and fiction books?",0
"61069",61068,106699,106700,"How can I motivate myself to study something I don't like?","How do I motivate myself to study subjects I don't like?",1
"61481",61480,107322,107323,"How does it feel to kill a human?","How does it feel to be a murderer?",1
"61515",61514,101718,107374,"How do the tourist attractions on the Scandinavian Highlands compare to attractions in Albania?","How do the tourist attractions on the Scandinavian Highlands compare to attractions in Monaco?",0
"61624",61623,107550,107551,"Why do colors look more red in one eye and more blue in the other?","How come in one eye you see more warm and the other you see more cool (color)?",1
"62159",62158,108398,108399,"""the best thing is to never have been born, second best thing is to die quickly"" why people continue to live even after loosing all vitality in life?","Is it possible to find numerator from fixed quotient and range of numbers as denominators? I.e if quotient is 0.87, denominator range 12-15",0
"62523",62522,14228,108953,"The pen is mightier than the sword. debate topic?","Is the pen mightier than the sword?",1
"62777",62776,109348,77754,"What's the best way to get a date?","What should I do to get a date?",1
"64613",64612,112248,112249,"My 15 years old little sister just started believing in Psychics, how can I softly explain to her they aren't a real thing?","How can I get my 14 year old girl to join in with the family when she can't tolerate my partner (father of her 1 yr old half-sister)?",0
"65217",65216,113211,113212,"Who are the best Smart Home / IoT consultants in Huntsville, AL? What makes them great? What do they specialize in?","Who are the best Smart Home / IoT consultants in Edmonton, AB? What makes them great? What do they specialize in?",0
"65469",65468,113613,113614,"What is game theory?","What are some ways to understand game theory?",1
"65826",65825,114179,114180,"Why do we sneeze when looking at the sun?","Why do I sneeze whenever I look at the sun?",1
"66110",66109,114636,114637,"Does Google Nexus 5X (India) support VoLTE?","When will Nexus 5x recieve Android N in India?",0
"66307",66306,1749,23147,"How can changing 500 and 1000 rupee notes end the black money in India?","How will banning Rs. 500 and Rs. 1000 notes help in overcoming corruption in India?",1
"66597",66596,115399,115400,"Which product have good sale on Facebook and why?","How many 4-year, non-profit colleges are in the US?",0
"66904",66903,115870,4844,"How can a photon not have mass but still have momentum?","How can photons have no mass and yet still have energy given that [math]E=mc^2[/math]?",0
"66983",66982,116003,116004,"Can I learn 3 languages at the same time?","Is it possible to learn two languages at the same time?",1
"67487",67486,116779,116780,"I'm allergic to latex, what surfing wetsuit should I buy?","I think I'm allergic to shampoo, what can I use instead?",0
"67519",67518,116832,116833,"What is the return type of iterator () method in Java collections?","What is the return type of the next() method in Java collections?",0
"67787",67786,117253,117254,"How do I hide apps in my Moto G (1st Gen) without rooting?","Which are the best 4.4.x ROMs for Moto G 1st Gen?",0
"68495",68494,118351,46689,"What's Linux?","What is Linux? What is its use?",1
"68767",68766,19546,23070,"Can we time travel?","Is time travel to 2010 possible?",1
"69638",69637,120136,120137,"Is there any site or video that can be used as a tutorial to learn Kanjira?","Is there any tutorial which will help me learn Informatica step by step?",0
"70377",70376,121311,121312,"Can I delete iPhoto after having Photos installed?","How do I delete duplicates in iPhoto?",0
"70644",70643,121697,121698,"Which are the best online video platforms?","What is the best free online video platform?",1
"71004",71003,9903,122264,"What should I do to get into an Ivy League college?","How can I get into an Ivy League college?",1
"71467",71466,98464,122976,"How can you train your dog to be a hunting dog?","What are some tips and hacks for raising a dog?",0
"71644",71643,123244,55501,"Where can I get best quality soft contact lenses in Sydney?","Where can I buy best quality colored contact lenses in Sydney?",0
"71892",71891,123639,40114,"How could I become an actor?","What is the easiest way to become an actor?",1
"72290",72289,124239,35229,"Are WWE fights real? If so, why?","Are the wwe fights scripted and fake?",1
"72562",72561,9732,36394,"Is sex necessary in a relationship?","How important is sex in relationship?",1
"73247",73246,125706,3505,"How do I get traffic using Instagram?","Instagram (product): How can I login to Instagram if I don't remember the password, and I dont know the email address that was used to set up the account?",0
"73277",73276,125757,125758,"Is public sex allowed in japan?","Is it mandatory for all public figures in Japan to shave clean?",0
"73541",73540,126191,126192,"What are the tips and hacks for getting the classes that you want as a freshman at Barry University?","What are the tips and hacks for getting the classes that you want as a freshman at Miami University?",0
"74087",74086,127028,127029,"I'm 12 and I already got my wisdom teeth, I know because I got a full OPG done and went to a dentist. Is this uncommon and what does it mean?","I am civil engineer living in Jeddah.i need to earn some more to manage my family.Im technically sound in core subject .what are best ways to earn?",0
"75362",75361,128993,128994,"Do lawyers like to argue?","Is responsible press the need of the hour?",0
"75855",75854,13412,129745,"Did social media really cause/impact the Egypt revolution?","How did social media impact the Egyptian Revolution of 2011?",1
"76007",76006,129984,129985,"How accurate is carbon dating?","How legit is carbon dating?",1
"76649",76648,31048,131001,"Which are some best websites for mechanical engineering students?","Which is the best website for online study of mechanical engineering?",1
"77127",77126,131746,131747,"Have you had any funny interview experiences?","What is the most bizarre job interview you have ever been party to?",0
"77246",77245,131923,131924,"How can incorporating clients exercise /physical activity preferences into their programme can strengthen and adherence?","How can I become a Nike+ Developer and get the client and secret keys to upload activities from exercise apps I made?",0
"77556",77555,127411,132387,"Can Scotland survive economically outside the UK?","Could Scotland survive economically, if she was to go independent from the UK?",1
"77574",77573,132415,132416,"Does boiling water kill all domestic bacteria?","Is it harmful to boil mineral water?",0
"77625",77624,103982,132498,"? to be deleted","Why did they want to bury Ian Malcolm at the end of Jurassic Park, when he is alive in the Lost World?",0
"78328",78327,133576,133577,"How will ""The Walking Dead"" end?","How will the Walking Dead end?",1
"78367",78366,133644,133645,"If you get free food, shelter and clothing will you study?","If you were the last survivor on earth..what will you try to own? (you already have a shelter, lots of food and other basic items)",0
"78816",78815,134316,134317,"What is a ecological niche? What are some examples?","What are some examples of ecological niches?",1
"78941",78940,134502,134503,"Why was Vrishakethu, the son of Karna, not chosen as a descendant of the throne of Hastinapur after Yudhisthir?","Mahabharata (Hindu epic): Who killed Abhimanyu? Was it Durmasana (Dushasana's son) or Karna? {Edited}",0
"79016",79015,134626,134627,"Why is freedom important?","Why is freedom important to you?",1
"79592",79591,135483,135484,"How do I get my address changed after I move to a new rented house?","How do I get my address changed after I move to a new house?",1
"80143",80142,136302,136303,"Is it proper to read sex stories?","Is it good to read sex stories?",1
"80329",80328,136582,136583,"When I work for other people I screw up a lot, but when I work for myself everything goes fine, what does this mean?","How do I stay awake for studying all night?",0
"80355",80354,10033,92716,"What is the best Python learning book for beginners?","Which is the best book for learning Python language for beginners?",1
"80700",80699,137149,137150,"Can you wear a steel necklace (not stainless steel) in the shower and to bed?","Can you wear a steel necklace 24/7 in shower and bed not take it off?",1
"80832",80831,137354,137355,"I'm a student from Mukesh Patel School of Engineering, NMIMS (for a BTech). Can I get an admission in a Mumbai University affiliated college for my master's?","I'm from MPSTME, NMIMS enrolled for a BTech. Can I get an admission in a Mumbai University affiliated college for my master's?",1
"81101",81100,137763,137764,"Which is the true religion in this world ?","Which is the correct and true religion in the world?",1
"81230",81229,109081,15150,"How did you make the world a better place today?","How can we make the world a better place?",1
"82190",82189,139430,139431,"Do our hearts stop while we sneeze?","Do our hearts stop while we sneeze? Why or why not?",1
"82428",82427,121098,139766,"What is Magnus Carlsen like in person?","What is Magnus Carlsen's IQ?",0
"82689",82688,140152,140153,"How were the first English colonies in America shaped by earlier ideas about democracy and government?","Reality Television: How was The Colony made in a way that the actors were not harmed by the volunteers?",0
"83101",83100,140766,140767,"Which Visa is easier to get, from the Swiss or French embassy?","My application from the French Embassy, Mumbai returned without a visa or a rejection letter. What exactly happened here?",0
"84040",84039,227,46821,"What do you think China food?","What do you think of the Chinese food?",1
"84820",84819,143347,143348,"Does ADHD-Hyperfocus go away with Medication?","What are some genuine dating sites with girls from Kerala?",0
"85528",85527,144382,144383,"What are some unusual aspects about politics and government in Cuba?","What are some unusual aspects about politics and government in Japan?",0
"85960",85959,145024,145025,"Why did Japan in WWII invade so many Southeast Asian countries, instead of focusing solely on China?","Why did the USA leave the Republic of China after WWII and instead assisted in rebuilding Japan?",0
"86252",86251,145498,145499,"Why was the municipal ordinance created?","What is a municipal ordinance?",0
"87663",87662,96142,147601,"What is the best poem that you have ever written?","What is the best poem ever written?",0
"87673",87672,147615,147616,"What is Seo Ranking?","What is search engine optimisation?",0
"87797",87796,147799,147800,"What's it like to single-hand a 30-40 foot sailboat in a storm? How bad does it have to get before it becomes impossible?","Are you a sailboat or a motor boat?",0
"87813",87812,147824,147825,"Can capitalism be a moral system?","Is global capitalism a moral economic system?",0
"87899",87898,147954,147955,"What is the significance of Dobby's death in Harry Potter?","Why didn't Hermione heal Dobby in Harry Potter and the Deathly Hallows: Part 1?",0
"89307",89306,150068,72655,"What is the meaning of the word ""soundacious""?","How do you describe the word ‘consent’?",0
"89714",89713,150676,150677,"What do doctors do on the sports field?","Who are the top three twerkers?",0
"90381",90380,151662,151663,"How are skateboard trucks made?","How are skateboards made?",0
"90416",90415,103471,151721,"If Trump loses the election this time around, can he try and run again in 2020 against Hillary?","After Donald Trump loses will he run again in 4 years?",1
"90461",90460,151790,27391,"What are some mind-blowing futuristic wallets that exist that most people don't know about?","What are some mind-blowing wallets gadgets that exist that most people don't know about?",1
"90825",90824,152347,152348,"I'm terrible at time management. I sleep at 5 am and feel terrible. I'm in dire need of help. What can I do? Any similar experiences?","Are there any politically conservative psychologists or psychiatrists in the Chicago area?",0
"91020",91019,152626,152627,"Which is the best cost effective website development company in the USA?","Which is the best cost effective website development company in USA?",1
"91418",91417,153198,153199,"How long should you leave a Li-Po battery on charge for the first time use?","What are some safe tips to cahrge your li-po battery on phone?",0
"91629",91628,53324,67387,"What are the safety precautions on handling shotguns proposed by the NRA in Maine?","What are the safety precautions on handling firearms proposed by the NRA in the entire U.S. including it’s territories and possessions?",1
"91827",91826,153819,153820,"How long does cooked chicken last in the refrigerator?","How long does macaroni salad last if you keep it in a refrigerator?",0
"92082",92081,154213,154214,"My birth date is 7/12/1996. Am I eligible for a NDA/NA2 2015 written exam?","I passed grade 12 in 2015. Am I eligible for this year JEE Main 2017?",0
"93802",93801,23095,156762,"Do waist cinchers really work? If so, how?","How does the waist trainer work?",1
"94285",94284,125773,157491,"Who is the best football player now, Cristiano Ronaldo or Lionel Messi?","Who is better: Messi or Ronaldo?",0
